text,score,true_class,predicted_class
"The Riley Oil Company is a family business that's lasted for decades. And they plan to keep it going for decades more. (Source: WAVE 3 News)
At the Riley Oil Company, they pump your gas, wash your windshield and check your oil -- for free. (Source: WAVE 3 News)
Paoli, Indiana has one of the last full service gas stations operating in the area. (Source: WAVE 3 News)
PAOLI, IN (WAVE) - Like many American towns, Paoli has evolved with the times.
The changing of the decades show in the decrepit drive-in movie theater. Something that you now just drive by.
However, there's one thing in Paoli that hasn't changed one bit. A full service gas station stands right next to the downtown roundabout.
""We pump the gas for you, wash your windshields, and they get pretty happy about that,"" Daniel McCabe said.
>> More Community news on wave3.com
McCabe is a newbie at Riley Oil Company. He said he started back in August after he lost his other job. He also said it was pretty cool knowing that he is one of the few who hold the position of gas pump assistant.
Customers who come by said it's a treat from the past.
""You don't necessarily want to get out and pump your own gas and here you can stay in your car and just do it that way,"" Loretta Brown said.
McCabe said he especially enjoys the small talk, getting to know residents of Paoli. Owners Jo Ann and Jeff Riley said that's their favorite part too.
""You get out there and you talk to so many people,"" Jo Ann Riley said. ""Everybody has a story and every story is different.""
Riley said the royal treatment has been around for decades.
""It started in 1971,"" Riley said. ""Glendon Riley, which is my husband's father -- he opened it.""
Since then, not once did the business stray from the most important thing: family. It's a Riley empire, honestly.
""Me, Troy, Eric, dad, Jodie, Jackie, so we have six?"" Jeff Riley said, counting the family members on his fingers. ""Six Riley's that work here.""
Jo Ann explained the family continues to grow.
MORE FROM WAVE3.COM
+ WAVE Country is #MarshallStrong
+ Residents at historic home digging in as museum looks to expand
+ 2018 KDF Pegasus Pins unveiled
""There are already great-grandbabies being born so I imagine it will be in the family for a long time,"" Jo Ann said. She added that the service they provide is a dedication to their customers.
""A lot of places will say they'll pump it for a penny more,"" Jo Ann said. ""We're not going to charge you a penny more.""
The miles have meaning alright. At Riley's a gallon takes you through generations.
""It's just family everywhere, you know it's just family,"" Riley said. ""We just, I think we have gas running through our veins instead of blood sometimes.""
Copyright 2018 WAVE 3 News. All rights reserved.",1.014225959777832,0,1
"Company, the commitment to quality and community has been the cornerstone of their operations. Founded in the 1970s, the company has grown from a small local distributor to a key player in the regional fuel market. The current owner, Sarah Riley, emphasizes the importance of family values in their business model. ""We treat our customers like family,"" she said. ""It's not just about selling fuel; it's about building relationships.""

In recent years, Riley Oil has also made strides in sustainability, investing in cleaner fuel options and exploring renewable energy sources. This forward-thinking approach has not only attracted environmentally conscious consumers but has also positioned the company as a leader in the industry.

As they look to the future, the Rileys are focused on expanding their services while maintaining their commitment to the community. They plan to launch a new loyalty program and support local initiatives, ensuring that the company remains a vital part of the community for generations to come.",0.734059751033783,1,1
"She's openly shared pictures of the stretch marks covering her thighs, and now Chrissy Teigen is lifting the lid on stretch marks during pregnancy and what she does to avoid them.
The 32-year-old who is mom to two-year-old Luna is due to give birth to her second child, a son, in June.
And speaking to Refinery29, the searingly honest author and model explained that as she's from 'a real stretch mark-prone family', she's had stretch marks for years.
Honest: Model and author Chrissy Teigen, 32, has opened up about the products she uses during pregnancy to avoid stretch marks
Go-tos: Chrissy's routine includes Aquaphor, $4.99, Lumière Concentrate, $85.95, and coconut oil
Lucky: Mom to two-year-old Luna and due to give birth to her second child, a son, in June, Chrissy admitted to Refinery29 that her belly is the one place she doesn't get marks
'I had stretch marks way before the baby. Mine went to my inner thighs for some reason — my thighs just got really angry one year.'
Referencing an Instagram post from August 2015 where her stretch marks on her thighs could clearly be seen, she added that she didn't post her 'stretchies for the praise'.
'I post[ed] it because [of] the wine also I like the pattern and they're so soft.'
However that doesn't mean she's complacent when it comes to preventing them on her belly during pregnancy and shared that for her, it's all about prevention.
'Sometimes, we only take care of our skin when we see a breakout happening, but with stretch marks, it's all about prevention,' she said.
And she's a big fan of getting the whole family involved: 'I'm big now, so it's hard for me to bend over. John helps me a lot with everything at the end of the night. Luna loves helping out.
'It's exhausting to do this 10-15 minute session of lubing up your belly and body, with all these different layers, especially when you're like, ""I don't even have a stretch mark yet!""'
Admitting that as she has naturally dry skin, Chrissy uses a combination of products to keep her skin soft, smooth and stretch mark free, and uses budget drugstore brand Aquaphor on her elbows, along with coconut oil all over her body.
Prep: However, she spends 10-15 minutes per night applying products to her belly to prevent any scarring and says prepping the skin before any stretching occurs is key
Family affair: Chrissy also shared that she gets her husband John Legend and daughter Luna also help out every night
Stretchies say hi: Chrissy has been open about her battle with stretch marks in the past and posted this candid shot of her stretch mark covered thighs in April 2015
However, her favorite products come from high-end skincare brand Lumière de Vie because - as she candidly confessed during the interview - she gets it for free.
'Honestly, a lot of it comes from Lumière because I worked with them and they send it to me,' she explained.
'That's one of the only beauty campaigns I did where it was like, I would do this for products. I don't need money, I don't need anything — Lumière is just such an incredible product.'
She uses the brand's concentration on her belly, 'especially around the sides because you never know where stretch marks are going to pop up.'
'The only place I don't have stretch marks on my body is my belly. The other places that have them are from regular wear and tear of my body,' she added.
However, Chrissy also shared that she's never seen a woman without stretch marks, and detailed how every model she's worked with has had at least one.
'I've worked with every supermodel in the world. I'm lucky to know that the most incredibly beautiful women all have stretch marks and all have the butt dimples. It really is our common bond.'",1.0231759548187256,0,1
"...them. In a recent interview, Teigen revealed that she has embraced her body’s changes throughout her pregnancies, emphasizing the importance of self-acceptance. “I’ve learned to love my stretch marks as part of my journey,” she said. 

To help manage the appearance of stretch marks, Teigen shared her skincare routine, which includes moisturizing with rich creams and oils. She swears by products that contain cocoa butter and hyaluronic acid, claiming they keep her skin hydrated and elastic. 

Teigen also highlighted the role of genetics in skin elasticity, noting that some women may be more prone to stretch marks than others. “It’s all about being kind to yourself and understanding that your body is doing something incredible,” she added. 

Her candidness has resonated with many, encouraging others to embrace their bodies and the changes that come with motherhood. Teigen’s message is clear: beauty comes in all forms, and self-love is essential.",0.701683759689331,1,1
"OCEANSIDE — Lifeguard David Wilson was honored this week for a heroic water rescue that saved a life.
The rescue occurred July 17, 2016. Wilson was on unit patrol at Harbor Beach tower 14 along with veteran lifeguard Mike Wagner.
“It was a pretty busy day,” Wilson said.
He began his day instructing students in the Junior Lifeguard Program. He then continued to put in patrol hours due to sizable summer crowds and rough seas.
Earlier that afternoon he was part of several land and sea rescues, including getting a child out of a locked sweltering car.
Then came a distress call about a solo jet skier crashed on the jetty at the mouth of the harbor. The location of the accident is nicknamed the “devil’s triangle” due to the dangers the rock jetty poses.
Wilson responded and found the man thrown off the jet ski, semiconscious, wedged between two boulders and unable to free himself. He attempted to free the man as consistent sets of pounding waves hit him and the victim.
While Wilson aided the victim a city harbor officer pulled up in a patrol boat and lent a hand in the difficult rescue. The two were able to put a lifejacket under the victim’s head as a buoy.
To set the man free, Wilson needed to dive underwater and release the victim’s legs. Eventually the pair dislodged the man, but not without getting knocked down by waves and enduring some major scrapes from the surrounding rocks, which Wilson described as a cheese grater.
“It seemed forever, we got beat up pretty well, yelling ‘brace’ between waves,” Wilson said.
A city firefighter arrived and the three pulled the victim from the rocks between sets of waves, up onto a stretcher and to an awaiting air ambulance. Due to HIPPA privacy laws the name of the victim has not been released.
“No doubt that without his iron effort, knowledge and skill in the ocean environment, a life would have been lost,” Capt. Bill Curtis, Oceanside Fire Department Lifeguard Division, said.
“David knowingly placed himself in harm’s way with one goal and an incredible outcome.”
For most the work day would end there, but Wilson showered off his cut leg and returned to duty to help with an issued code five alert. That afternoon he pulled 20 people from the harbor’s choppy waters.
“It’s one of the crazier situations I’ve been in,” Wilson said.
Code five rescue operations involved every lifeguard on duty. Wilson said to aid multiple people in distress his partner paddled out on a rescue board, directed a group of five people to hold on and Wilson swam two of them at a time into shore.
“It was a good day with a positive outcome,” Wilson said.
Despite his long day and injuries Wilson was at the Junior Lifeguard Program the following morning instructing potential future guards.
The recognition ceremony for his heroism took place in Sacramento on Sept. 25. Out of 21 applicants Wilson was the only one to receive the prestigious Governor’s Public Safety Medal of Valor this year.
Wilson grew up in Oceanside and has served as a city lifeguard since 2012. He just completed criminal justice studies and plans to pursue a career as a State Beach peace officer ranger/lifeguard.
He said his career path was inspired by fellow Oceanside lifeguards whose rescues have become legend.
“There aren’t a lot of people in this profession who get recognized for their amazing feats,” Wilson said. “I’m beyond blessed being able to do this.”
Last year Oceanside beaches saw more than 4 million visitors. Lifeguards prevented more than 82,000 accidents and performed in excess of 3,000 water rescues.",1.0889570713043213,0,1
"...Oceanside Beach when he noticed a commotion in the water. A swimmer had been caught in a rip current and was struggling to stay afloat. Without hesitation, Wilson sprang into action, diving into the turbulent waves. He swam against the current, reaching the distressed swimmer just in time. With his training and experience, Wilson was able to secure the swimmer and guide them back to safety.

The swimmer, a local resident, expressed immense gratitude for Wilson's quick response and bravery. ""I truly believe he saved my life,"" they said during the ceremony where Wilson was recognized. The Oceanside Lifeguard Association presented him with a commendation for his courage and dedication to public safety. 

City officials praised Wilson's actions, highlighting the importance of lifeguards in ensuring beachgoers' safety. ""David exemplifies the spirit of our community and the commitment of our lifeguards,"" said the mayor during the award presentation.",0.730940043926239,1,1
"The Great Southern Storm have named an initial colts squad of 45 players under a new coach as they prepare for the Great Southern Colts Carnival in Kulin next month.
The initial squad will have two training sessions in the lead-up to the final travelling team being selected and will feature a new-look coaching panel, with Glynn Verbruggen taking over from long-standing mentor Phil Gilbert.
Gilbert, a former AFL player with Melbourne and Fremantle, was head coach of the Storm for seven of the past eight years and has moved to Perth. Verbruggen won the Sean Plaisted Medal as the leading goal kicker in the Great Southern Football League in 2008 and has senior coaching experience with Northampton in the Great Northern Football League.
Recently Verbruggen has been in charge of the Claremont 15s development squad and was excited by the challenge of being announced as the Storm’s head figure.
“I’m really excited to take over as the senior Storm coach,” he said.
“I’ve stayed away from coaching senior football down here for this chance and the aim was to take over from Phil when he left.
“The opportunity has come up and I’m really keen to get in and help with the talented kids from the region.”
A strong squad has been named this week featuring a host of young players who are regulars at league level, while State 16 squad members Heath Spinks and Jacob Blight have also been included.
Squad members Fraser Eaton, Bryce Blaszkow, Tom Wolfe, Taj Williams, Lachy O’Shea, Ted Batchelor, Hayden Parker and Aidin Williss have already played State Country colts this season.
North Albany has the biggest representation with 12 members, Railways has eight while Albany and Royals each have seven players named.
“It will be good to get a look at all the talented kids over two sessions and over the next two rounds of local footy,” Verbruggen said.
“It’s a really even squad with a lot of younger age kids and we definitely will be very competitive at Kulin.”
The squad will train at Railways on June 4 and 11, from 5.30pm.
Great Southern Storm colts squad
Jake Abbott, Zainel Bin Busu, Bryce Blaszkow, Fraser Eaton, Kieran Gowdie, Marcus Mellon, Callum Redshaw (Albany) Codey Baxter, Richard Cullinan, Rex Ogier, Liam Park, Griffin Roy (Denmark-Walpole) Nitan Benavides, Devin Cooper, Rhys Hogg, Jacob Skinner, Aidin Williss (Mt Barker) Ted Batchelor, Aden Castlehow, Jake Castlehow, Jeff Fitzpatrick, Kohen Lemin, Ned McSweeney, Lachy O’Shea, Alex Pearce, Braden Retallack, Connor Spinks, Heath Spinks, Taj Williams (North Albany) Joe Alvin, Jacob Blight, Aidan Dallimore, Hayden Davies, Nelson Kent, Jack Steel, Jayden Scott, Tom Wolfe (Railways) Regan Askevold, Rivah Bocian, Jaike Dale, Nic Finlay, Jaxon Nottle, Ben Watson, Brandon Woods (Royals)",1.0358422994613647,0,1
"The squad features a mix of promising young talent and experienced players, showcasing the depth of the region's footballing prowess. Coach Jamie Thompson expressed his excitement about the upcoming carnival, emphasizing the importance of teamwork and development. ""This is a fantastic opportunity for these young athletes to showcase their skills and gain valuable experience,"" Thompson said. 

Among the standout selections are several players who have excelled in local leagues, including standout forward Liam Carter and dynamic midfielder Sarah Jenkins. The team will undergo a rigorous training schedule leading up to the carnival, focusing on building cohesion and refining their strategies. 

The Great Southern Colts Carnival is set to attract scouts and fans alike, providing a platform for these young players to shine. The squad will be trimmed down closer to the event, but for now, the focus remains on preparation and fostering a competitive spirit within the group.",0.8049398064613342,1,1
"She seemed to let slip that she was expecting a baby boy during an appearance on RTE One's Cutting Edge earlier this month, before trying to cover it up.
But Vogue Williams confirmed the worst-kept secret in the world on Instagram stories on Tuesday when she referred to the baby as 'he'.
She looked incredible posing in a sexy black swimsuit and joked that you can only see the bump from the side.
Stunning: Pregnant Vogue Williams showed off her blossoming bump in a black one-piece as she enjoyed some time in Hong Kong on Tuesday
The big reveal: She confirmed that she is in fact expecting a boy as she referred to her baby as 'he' - she did it once before on a TV show earlier this month but tried to backtrack
Posing in a Hong Kong bathroom in the swimsuit which had cut-out sections at the side, the model wrote: 'Wearing my girl @melissaodabash.'
She wrote on a picture of herself from the side, she added the caption: 'Don't worry, he's still here,' next to a cry-face emoji.
Vogue's soon-to-be sister-in-law Pippa Middleton is said to be expecting her first child at the same time as her.
And on Sunday, she slipped into a bikini in the garden just hours after claims that another Matthews baby was on the way.
That morning, it was reported that James Matthews, the older brother of Vogue's fiance Spencer, was 'overjoyed' to be expecting his first child with wife Pippa, who happens to be the Duchess of Cambridge's little sister.
Bumping along: Vogue posted another side profile bump shot on Sunday, after lashing out at claims she edited her baby bump in a front on shot last week
Currently bumping along nicely with her own pregnancy, Vogue shared a bump picture as she enjoyed the London sunshine.
The Irish model looked glorious in a little golden bandeau bikini, exposing her pregnancy shape as she turned to one side and posed while standing on a garden bench with her dog.
She wrote beside it: 'I should be packing but it’s sooooo sunny and I have a new bikini and sunglasses!'
Spencer's gorgeous bride-to-be also wrote 'I love my bump' beside the picture as she caught some rays.
Loved-up: Vogue Williams and Spencer Matthews bid farewell to their 'magical' Grecian baby-moon at Domes Noruz Chania in Crete as they posted a sweet holiday snap on Thursday
Expecting? On Sunday, it was reported that Spencer's brother James Matthews (left) is expecting his first child with wife Pippa Middleton (right, on their wedding day, last May)
Vogue posted side profile shot after being forced to deny she photoshopped her baby bump in a front-on shot last week.
The Irish beauty lashed out at trolls, explaining how two angles looked so different to one another.
'These photos were taken within half an hour of each other,' she explained. 'Front on no bump, side profile POW there he is! So glad my bump has finally popped.
'I never alter my body in any pictures, if you can’t see my bump it’s just because of the angle although I may only take side profile shots from now on!'
B UT Spencer and Vogue have just got back from a glorious babymoon in Crete.
Bidding farewell to the holiday spot, they posted a loved-up holiday snap via Instagram on Thursday morning.
The happy couple looked besotted in the sunset snap, which both uploaded just hours after Vogue took to social media to slam claims she had digitally altered pictures of her baby bump.
Vogue, 32, and Spencer, 28, put on a cosy display as they posed in front of the Greek sunset, with the Irish TV presenter shielding her growing bump in a flowing yellow maxi dress.
Daddy-to-be Spencer captioned his post: 'Last night was magical... We are FAMILY... Can the Little one hurry up already @voguewilliams?'
Meanwhile Vogue wrote: 'The end of our amazing holiday... there is nobody I would rather be with @spencermatthews.'
Bumping along: The side profile shot comes days after the Irish TV presenter, 32, took to social media to slam claims she had digitally altered pictures of her baby bump
Gorgeous: Vogue took to Instagram on Wednesday to share a skimpy bikini snap as she hit back at claims she edits her social media snaps
The couple's sun-soaked getaway came after Spencer and James's multi-millionaire father David Matthews was arrested and charged with sexual assault by French Police.
The 74-year-old was released on bail last month pending further investigation, and Spencer it yet to comment publicly on the news.
A spokesperson for the family said: 'David Matthews categorically denies the allegation and unequivocally contests the untrue and scandalous accusation.'",1.0040518045425415,0,1
"the revelation has sparked a flurry of excitement among fans and followers. The host, who was discussing various topics, inadvertently mentioned ""he"" when referring to the baby, prompting speculation about the gender of her child. Although she quickly attempted to backtrack, the slip has only fueled interest in her pregnancy journey.

Social media platforms erupted with congratulatory messages and theories about potential names for the baby boy. Fans have been eagerly awaiting updates, and this latest hint has only intensified their curiosity. 

In the days following the appearance, the star has remained tight-lipped about further details, choosing instead to focus on her upcoming projects. However, insiders suggest that she is over the moon about the impending arrival and is preparing for motherhood with great enthusiasm. As the due date approaches, many are left wondering if she will share more about her pregnancy or keep the details under wraps until the big day arrives.",0.7450248599052429,1,1
