text,score,true_class,predicted_class
"The Riley Oil Company is a family business that's lasted for decades. And they plan to keep it going for decades more. (Source: WAVE 3 News)
At the Riley Oil Company, they pump your gas, wash your windshield and check your oil -- for free. (Source: WAVE 3 News)
Paoli, Indiana has one of the last full service gas stations operating in the area. (Source: WAVE 3 News)
PAOLI, IN (WAVE) - Like many American towns, Paoli has evolved with the times.
The changing of the decades show in the decrepit drive-in movie theater. Something that you now just drive by.
However, there's one thing in Paoli that hasn't changed one bit. A full service gas station stands right next to the downtown roundabout.
""We pump the gas for you, wash your windshields, and they get pretty happy about that,"" Daniel McCabe said.
>> More Community news on wave3.com
McCabe is a newbie at Riley Oil Company. He said he started back in August after he lost his other job. He also said it was pretty cool knowing that he is one of the few who hold the position of gas pump assistant.
Customers who come by said it's a treat from the past.
""You don't necessarily want to get out and pump your own gas and here you can stay in your car and just do it that way,"" Loretta Brown said.
McCabe said he especially enjoys the small talk, getting to know residents of Paoli. Owners Jo Ann and Jeff Riley said that's their favorite part too.
""You get out there and you talk to so many people,"" Jo Ann Riley said. ""Everybody has a story and every story is different.""
Riley said the royal treatment has been around for decades.
""It started in 1971,"" Riley said. ""Glendon Riley, which is my husband's father -- he opened it.""
Since then, not once did the business stray from the most important thing: family. It's a Riley empire, honestly.
""Me, Troy, Eric, dad, Jodie, Jackie, so we have six?"" Jeff Riley said, counting the family members on his fingers. ""Six Riley's that work here.""
Jo Ann explained the family continues to grow.
MORE FROM WAVE3.COM
+ WAVE Country is #MarshallStrong
+ Residents at historic home digging in as museum looks to expand
+ 2018 KDF Pegasus Pins unveiled
""There are already great-grandbabies being born so I imagine it will be in the family for a long time,"" Jo Ann said. She added that the service they provide is a dedication to their customers.
""A lot of places will say they'll pump it for a penny more,"" Jo Ann said. ""We're not going to charge you a penny more.""
The miles have meaning alright. At Riley's a gallon takes you through generations.
""It's just family everywhere, you know it's just family,"" Riley said. ""We just, I think we have gas running through our veins instead of blood sometimes.""
Copyright 2018 WAVE 3 News. All rights reserved.",1.1336253881454468,0,1
", three generations have worked in the same family business. The oil company's success is based on making sure it meets customers' needs, but it all starts with making sure the family's needs are met as well.
A customer brings in a truck with a problem.
Joe Riley Jr. looks over the truck's engine.
""I've been doing this a lot of years, and I think I'm qualified,"" said Riley Jr.
But, in a little while, he'll leave for a more important job.
""It's a pretty important day for our family,"" he said.
It's his son's first day of kindergarten.
Joe Riley III is the third generation of the Riley Oil Company.
""I want to get in the family business,"" he said. ""I think I'll enjoy it.""
His grandfather started the family business, but his father and uncles were involved, too.
""My mom works here. My grandfather used to work here, my grandmother used to work here,"" said Riley Jr.
Joe Sr. was diagnosed with ALS in 2015. He was 56-years-old.
""It's a disease that affects all the muscles, so it affects your legs, hands. Eventually, it got to his throat and his voice,"" said Riley Jr. ""He fought the battle. He fought a good battle. I'm blessed for the years I had with my dad.""
And now, Joe Jr. has a fight ahead of him. His father-in-law was diagnosed with ALS two weeks ago. He's going through the same issues as Joe Sr.
""This is what we deal with in this family with ALS,"" said Riley Jr.
A disease that can't be cured. And the family has a lot to worry about.
Joe Riley Sr. had to retire because of ALS, but Joe Jr. has to balance his family and his father's company. That means he has to be there when he's needed most.
""I try to do the best I can, and when I'm needed here, I come to work, and I try to do the best job I can,"" he said.
He and his dad are",0.9386616945266724,1,1
"She's openly shared pictures of the stretch marks covering her thighs, and now Chrissy Teigen is lifting the lid on stretch marks during pregnancy and what she does to avoid them.
The 32-year-old who is mom to two-year-old Luna is due to give birth to her second child, a son, in June.
And speaking to Refinery29, the searingly honest author and model explained that as she's from 'a real stretch mark-prone family', she's had stretch marks for years.
Honest: Model and author Chrissy Teigen, 32, has opened up about the products she uses during pregnancy to avoid stretch marks
Go-tos: Chrissy's routine includes Aquaphor, $4.99, Lumière Concentrate, $85.95, and coconut oil
Lucky: Mom to two-year-old Luna and due to give birth to her second child, a son, in June, Chrissy admitted to Refinery29 that her belly is the one place she doesn't get marks
'I had stretch marks way before the baby. Mine went to my inner thighs for some reason — my thighs just got really angry one year.'
Referencing an Instagram post from August 2015 where her stretch marks on her thighs could clearly be seen, she added that she didn't post her 'stretchies for the praise'.
'I post[ed] it because [of] the wine also I like the pattern and they're so soft.'
However that doesn't mean she's complacent when it comes to preventing them on her belly during pregnancy and shared that for her, it's all about prevention.
'Sometimes, we only take care of our skin when we see a breakout happening, but with stretch marks, it's all about prevention,' she said.
And she's a big fan of getting the whole family involved: 'I'm big now, so it's hard for me to bend over. John helps me a lot with everything at the end of the night. Luna loves helping out.
'It's exhausting to do this 10-15 minute session of lubing up your belly and body, with all these different layers, especially when you're like, ""I don't even have a stretch mark yet!""'
Admitting that as she has naturally dry skin, Chrissy uses a combination of products to keep her skin soft, smooth and stretch mark free, and uses budget drugstore brand Aquaphor on her elbows, along with coconut oil all over her body.
Prep: However, she spends 10-15 minutes per night applying products to her belly to prevent any scarring and says prepping the skin before any stretching occurs is key
Family affair: Chrissy also shared that she gets her husband John Legend and daughter Luna also help out every night
Stretchies say hi: Chrissy has been open about her battle with stretch marks in the past and posted this candid shot of her stretch mark covered thighs in April 2015
However, her favorite products come from high-end skincare brand Lumière de Vie because - as she candidly confessed during the interview - she gets it for free.
'Honestly, a lot of it comes from Lumière because I worked with them and they send it to me,' she explained.
'That's one of the only beauty campaigns I did where it was like, I would do this for products. I don't need money, I don't need anything — Lumière is just such an incredible product.'
She uses the brand's concentration on her belly, 'especially around the sides because you never know where stretch marks are going to pop up.'
'The only place I don't have stretch marks on my body is my belly. The other places that have them are from regular wear and tear of my body,' she added.
However, Chrissy also shared that she's never seen a woman without stretch marks, and detailed how every model she's worked with has had at least one.
'I've worked with every supermodel in the world. I'm lucky to know that the most incredibly beautiful women all have stretch marks and all have the butt dimples. It really is our common bond.'",1.0539215803146362,0,1
"-year-old model is currently expecting her second child with singer and her husband John Legend.
On Saturday she took to Twitter to ask her followers if they knew of a preventative measure to avoid stretch marks.
""I remember my first pregnancy, I had absolutely no stretch marks, and am wondering if it’s the same for the 2nd...have you had good luck so far?"" Teigen asked.
""Please tell me it’s genetics because my mom has none and never had it on her bump, alllll over her boobs but nothing else. What have you used? I have oils, oils and more oils.""
Teigen's leg tattoo was revealed while she was pregnant with her daughter Luna.
Teigen told BuzzFeed she'd always had trouble sleeping on her back and asked for permission to lie on her left side in the delivery room to try and avoid stretch marks.
Learning her request would be too hard to enforce for medical staff, Teigen decided to just have the words ""no stretch marks"" tattooed on her thigh instead.
Teigen told Glamour magazine this week it was still too early to tell whether she would be lucky enough to dodge stretch marks the second time around.
Chrissy Teigen is a mother to daughter Luna and is currently pregnant with her second child.
Despite having stretch marks on her bump for her first pregnancy, the model isn't deterred by them, and is confident they're a sign of a healthy pregnancy and happy baby.
""It’s a privilege that my body is doing the thing it’s supposed to do,"" she told People.
""I feel very fortunate to be pregnant at all, so it’s a trade-off. I don’t mind getting a little stretch marks. You have to take it with a grain of salt.""
When she isn't on Twitter telling us her life story, Chrissy Teigen is working as a model.
Teigen credits her ""stretchie"" mummy-friends with helping her see the positives of her body, too, which helps combat any negative feelings she may have about her stretch marks.
She told Glamour: ""I have these stretch marks on my hips and they’",1.0226171016693115,1,1
"OCEANSIDE — Lifeguard David Wilson was honored this week for a heroic water rescue that saved a life.
The rescue occurred July 17, 2016. Wilson was on unit patrol at Harbor Beach tower 14 along with veteran lifeguard Mike Wagner.
“It was a pretty busy day,” Wilson said.
He began his day instructing students in the Junior Lifeguard Program. He then continued to put in patrol hours due to sizable summer crowds and rough seas.
Earlier that afternoon he was part of several land and sea rescues, including getting a child out of a locked sweltering car.
Then came a distress call about a solo jet skier crashed on the jetty at the mouth of the harbor. The location of the accident is nicknamed the “devil’s triangle” due to the dangers the rock jetty poses.
Wilson responded and found the man thrown off the jet ski, semiconscious, wedged between two boulders and unable to free himself. He attempted to free the man as consistent sets of pounding waves hit him and the victim.
While Wilson aided the victim a city harbor officer pulled up in a patrol boat and lent a hand in the difficult rescue. The two were able to put a lifejacket under the victim’s head as a buoy.
To set the man free, Wilson needed to dive underwater and release the victim’s legs. Eventually the pair dislodged the man, but not without getting knocked down by waves and enduring some major scrapes from the surrounding rocks, which Wilson described as a cheese grater.
“It seemed forever, we got beat up pretty well, yelling ‘brace’ between waves,” Wilson said.
A city firefighter arrived and the three pulled the victim from the rocks between sets of waves, up onto a stretcher and to an awaiting air ambulance. Due to HIPPA privacy laws the name of the victim has not been released.
“No doubt that without his iron effort, knowledge and skill in the ocean environment, a life would have been lost,” Capt. Bill Curtis, Oceanside Fire Department Lifeguard Division, said.
“David knowingly placed himself in harm’s way with one goal and an incredible outcome.”
For most the work day would end there, but Wilson showered off his cut leg and returned to duty to help with an issued code five alert. That afternoon he pulled 20 people from the harbor’s choppy waters.
“It’s one of the crazier situations I’ve been in,” Wilson said.
Code five rescue operations involved every lifeguard on duty. Wilson said to aid multiple people in distress his partner paddled out on a rescue board, directed a group of five people to hold on and Wilson swam two of them at a time into shore.
“It was a good day with a positive outcome,” Wilson said.
Despite his long day and injuries Wilson was at the Junior Lifeguard Program the following morning instructing potential future guards.
The recognition ceremony for his heroism took place in Sacramento on Sept. 25. Out of 21 applicants Wilson was the only one to receive the prestigious Governor’s Public Safety Medal of Valor this year.
Wilson grew up in Oceanside and has served as a city lifeguard since 2012. He just completed criminal justice studies and plans to pursue a career as a State Beach peace officer ranger/lifeguard.
He said his career path was inspired by fellow Oceanside lifeguards whose rescues have become legend.
“There aren’t a lot of people in this profession who get recognized for their amazing feats,” Wilson said. “I’m beyond blessed being able to do this.”
Last year Oceanside beaches saw more than 4 million visitors. Lifeguards prevented more than 82,000 accidents and performed in excess of 3,000 water rescues.",1.1350232362747192,0,1
"at Oceanside’s Harbor Beach when he witnessed a woman fall off her inflatable raft as a wave crashed over her.
He immediately jumped into action, grabbing the raft’s rope and pulling the raft and unconscious woman toward shore.
He jumped onto a nearby jetty to continue pulling the raft. At this point, the raft’s rope became tangled in a piling and Wilson was pulled off the jetty into the water. As he was being dragged into the ocean, he grabbed the rope from the piling and jumped back onto the jetty. As he and his fellow lifeguards were pulling the raft back to the beach, another lifeguard noticed that the woman was still unconscious. Wilson dove into the water, swimming 30 yards to get to the woman, and bringing her onto the raft. He and other lifeguards then continued to pull the raft back to shore, where the woman was placed in the care of medical personnel and transported to the hospital.
Wilson was recognized for his efforts at a ceremony on Monday at Mission San Luis Rey Parish. At the ceremony, the Harbor Beach Association presented Wilson with a check for $5,000 to pay for any medical bills from the incident.
A plaque was presented to Wilson, reading, “Harbor Beach Association acknowledges your exemplary life-saving actions and your willingness to place your life on the line to rescue your fellow citizens.”
Oceanside City Councilman Jack Feller, a former Oceanside City Fire Department captain, also spoke during the ceremony, saying he felt privileged to have been a part of the program. He described how he felt at the time.
“When something like this happens, there’s a great sense of pride, there’s a great sense of accomplishment that you had the wherewithal to be able to put your heart and mind into doing this,” Feller said.
Oceanside Fire Department Deputy Chief David Keever also presented a plaque to Wilson during the ceremony.
A San Clemente resident, Wilson works as a lifeguard at Oceanside Harbor Beach as well as at Camp Pendleton.
In addition to Wilson, two of Wilson’s co-workers, lifeguard supervisors Dane Sutton and Patrick",0.9196332097053528,1,1
"The Great Southern Storm have named an initial colts squad of 45 players under a new coach as they prepare for the Great Southern Colts Carnival in Kulin next month.
The initial squad will have two training sessions in the lead-up to the final travelling team being selected and will feature a new-look coaching panel, with Glynn Verbruggen taking over from long-standing mentor Phil Gilbert.
Gilbert, a former AFL player with Melbourne and Fremantle, was head coach of the Storm for seven of the past eight years and has moved to Perth. Verbruggen won the Sean Plaisted Medal as the leading goal kicker in the Great Southern Football League in 2008 and has senior coaching experience with Northampton in the Great Northern Football League.
Recently Verbruggen has been in charge of the Claremont 15s development squad and was excited by the challenge of being announced as the Storm’s head figure.
“I’m really excited to take over as the senior Storm coach,” he said.
“I’ve stayed away from coaching senior football down here for this chance and the aim was to take over from Phil when he left.
“The opportunity has come up and I’m really keen to get in and help with the talented kids from the region.”
A strong squad has been named this week featuring a host of young players who are regulars at league level, while State 16 squad members Heath Spinks and Jacob Blight have also been included.
Squad members Fraser Eaton, Bryce Blaszkow, Tom Wolfe, Taj Williams, Lachy O’Shea, Ted Batchelor, Hayden Parker and Aidin Williss have already played State Country colts this season.
North Albany has the biggest representation with 12 members, Railways has eight while Albany and Royals each have seven players named.
“It will be good to get a look at all the talented kids over two sessions and over the next two rounds of local footy,” Verbruggen said.
“It’s a really even squad with a lot of younger age kids and we definitely will be very competitive at Kulin.”
The squad will train at Railways on June 4 and 11, from 5.30pm.
Great Southern Storm colts squad
Jake Abbott, Zainel Bin Busu, Bryce Blaszkow, Fraser Eaton, Kieran Gowdie, Marcus Mellon, Callum Redshaw (Albany) Codey Baxter, Richard Cullinan, Rex Ogier, Liam Park, Griffin Roy (Denmark-Walpole) Nitan Benavides, Devin Cooper, Rhys Hogg, Jacob Skinner, Aidin Williss (Mt Barker) Ted Batchelor, Aden Castlehow, Jake Castlehow, Jeff Fitzpatrick, Kohen Lemin, Ned McSweeney, Lachy O’Shea, Alex Pearce, Braden Retallack, Connor Spinks, Heath Spinks, Taj Williams (North Albany) Joe Alvin, Jacob Blight, Aidan Dallimore, Hayden Davies, Nelson Kent, Jack Steel, Jayden Scott, Tom Wolfe (Railways) Regan Askevold, Rivah Bocian, Jaike Dale, Nic Finlay, Jaxon Nottle, Ben Watson, Brandon Woods (Royals)",1.1283973455429077,0,1
"Katanning on July 12 and 26 as they prepare for the carnival, which will see 14 teams compete from July 31 to August 3.
There is a new man at the helm of the GSS colts for the 2014 carnival as Luke Fenton replaces Paul Firth, who is taking a break.
Fenton coached the Great Southern District Under-16 team to the Division 1 title in 2011 and was an assistant coach for the 2013 Colts.
The GSS Colts were knocked out in the first round of the carnival last year, but are confident they can compete with a strong group of players for 2014.
The squad has an inexperienced look to it, with the older age group in the team largely coming from the Broomehill-Tambellup Football Club.
There are 25 players from BTFC and 14 Katanning players in the squad, which also includes Kukerin/Kojonup players.
Fenton said that he expected to have some more players drop out due to injury or unavailability closer to the carnival, but felt it was a good group and he was happy with the work ethic they were showing in training.
“We did quite a bit of training in the last few days and the majority of the boys were at all those sessions,” he said.
Fenton, who is a former Great Southern Football League league and colts player as well as a past player for East Fremantle, said that he would have to do plenty of work with the players with a number of them new to colts football.
“This is a completely new group of kids so it will be good working with a new group,” he said.
Fenton was pleased with the response the team had had at training, with around 40 per cent of them attending most sessions, which were mostly in the evening.
“The response has been good,” he said.
“The Katanning boys are really keen and there are some BT boys as well.
“I am very positive that things are going really well and that we will get a good bunch of boys.
He said that there were not a lot of the older players from the carnival two years ago that",0.9910290241241455,1,1
"She seemed to let slip that she was expecting a baby boy during an appearance on RTE One's Cutting Edge earlier this month, before trying to cover it up.
But Vogue Williams confirmed the worst-kept secret in the world on Instagram stories on Tuesday when she referred to the baby as 'he'.
She looked incredible posing in a sexy black swimsuit and joked that you can only see the bump from the side.
Stunning: Pregnant Vogue Williams showed off her blossoming bump in a black one-piece as she enjoyed some time in Hong Kong on Tuesday
The big reveal: She confirmed that she is in fact expecting a boy as she referred to her baby as 'he' - she did it once before on a TV show earlier this month but tried to backtrack
Posing in a Hong Kong bathroom in the swimsuit which had cut-out sections at the side, the model wrote: 'Wearing my girl @melissaodabash.'
She wrote on a picture of herself from the side, she added the caption: 'Don't worry, he's still here,' next to a cry-face emoji.
Vogue's soon-to-be sister-in-law Pippa Middleton is said to be expecting her first child at the same time as her.
And on Sunday, she slipped into a bikini in the garden just hours after claims that another Matthews baby was on the way.
That morning, it was reported that James Matthews, the older brother of Vogue's fiance Spencer, was 'overjoyed' to be expecting his first child with wife Pippa, who happens to be the Duchess of Cambridge's little sister.
Bumping along: Vogue posted another side profile bump shot on Sunday, after lashing out at claims she edited her baby bump in a front on shot last week
Currently bumping along nicely with her own pregnancy, Vogue shared a bump picture as she enjoyed the London sunshine.
The Irish model looked glorious in a little golden bandeau bikini, exposing her pregnancy shape as she turned to one side and posed while standing on a garden bench with her dog.
She wrote beside it: 'I should be packing but it’s sooooo sunny and I have a new bikini and sunglasses!'
Spencer's gorgeous bride-to-be also wrote 'I love my bump' beside the picture as she caught some rays.
Loved-up: Vogue Williams and Spencer Matthews bid farewell to their 'magical' Grecian baby-moon at Domes Noruz Chania in Crete as they posted a sweet holiday snap on Thursday
Expecting? On Sunday, it was reported that Spencer's brother James Matthews (left) is expecting his first child with wife Pippa Middleton (right, on their wedding day, last May)
Vogue posted side profile shot after being forced to deny she photoshopped her baby bump in a front-on shot last week.
The Irish beauty lashed out at trolls, explaining how two angles looked so different to one another.
'These photos were taken within half an hour of each other,' she explained. 'Front on no bump, side profile POW there he is! So glad my bump has finally popped.
'I never alter my body in any pictures, if you can’t see my bump it’s just because of the angle although I may only take side profile shots from now on!'
B UT Spencer and Vogue have just got back from a glorious babymoon in Crete.
Bidding farewell to the holiday spot, they posted a loved-up holiday snap via Instagram on Thursday morning.
The happy couple looked besotted in the sunset snap, which both uploaded just hours after Vogue took to social media to slam claims she had digitally altered pictures of her baby bump.
Vogue, 32, and Spencer, 28, put on a cosy display as they posed in front of the Greek sunset, with the Irish TV presenter shielding her growing bump in a flowing yellow maxi dress.
Daddy-to-be Spencer captioned his post: 'Last night was magical... We are FAMILY... Can the Little one hurry up already @voguewilliams?'
Meanwhile Vogue wrote: 'The end of our amazing holiday... there is nobody I would rather be with @spencermatthews.'
Bumping along: The side profile shot comes days after the Irish TV presenter, 32, took to social media to slam claims she had digitally altered pictures of her baby bump
Gorgeous: Vogue took to Instagram on Wednesday to share a skimpy bikini snap as she hit back at claims she edits her social media snaps
The couple's sun-soaked getaway came after Spencer and James's multi-millionaire father David Matthews was arrested and charged with sexual assault by French Police.
The 74-year-old was released on bail last month pending further investigation, and Spencer it yet to comment publicly on the news.
A spokesperson for the family said: 'David Matthews categorically denies the allegation and unequivocally contests the untrue and scandalous accusation.'",1.1258536577224731,0,1
"in Irish showbiz last night, as she finally announced she's pregnant in an Instagram post.
However, there's no sign of Spencer's face yet, as the model, who is dating Vogue Williams' sister Vanessa, hid his face with a straw hat.
During her radio appearance, Vogue was asked about whether she had seen her sister Vanessa recently.
""She is so happy, I was just at her and Spencer's house today actually and it's just lovely,"" Vogue gushed, before adding that her sibling and Spencer were ""so well"" and ""so happy"" together.
The RTE presenter then told the presenters that she hadn't met their baby yet.
""She is nearly 18 weeks now, it is a baby and Spencer is delighted - he is the happiest he has ever been in his life,"" she continued.
""They have a dog together, they are just really happy and I'm so happy for her, and it's good for the two of them to be in Ireland as well.""
On being pregnant herself, Vogue said she feels a lot of 'hormones and emotions' coming on, adding: ""It is tough when people say you don't feel pregnant, but you feel a bit hormonal and a bit emotional.""
Vogue also shared her concerns over not knowing what it's like to be a mother, saying: ""I feel like it's so cliché but no amount of books or advice can tell you how it feels to be a mum.
""You don't know what the first six months are going to be like, you don't know how your body is going to react to it.""
The blonde beauty admitted that Spencer was ""terrified about having a kid,"" but assured him that he is doing a great job.
""It is tough. People expect me to say, 'oh yeah, it's fine I've always been good with kids'. I have never even changed nappies, I was never even around little kids a lot,"" she added.
The radio presenter then added that she is glad that she already has some ""great friends who are mums,"" so she can turn to for advice.
Vogue's fans were quick to",1.0088545083999634,1,1
