text,score,true_class,predicted_class
"Phones

Modern humans today are always on their phone. They are always on their phone more than 5 hours a day no stop .All they do is text back and forward and just have group Chats on social media. They even do it while driving. They are some really bad consequences when stuff happens when it comes to a phone. Some certain areas in the United States ban phones from class rooms just because of it.

When people have phones, they know about certain apps that they have .Apps like Facebook Twitter Instagram and Snapchat. So like if a friend moves away and you want to be in contact you can still be in contact by posting videos or text messages. People always have different ways how to communicate with a phone. Phones have changed due to our generation.

Driving is one of the way how to get around. People always be on their phones while doing it. Which can cause serious Problems. That's why there's a thing that's called no texting while driving. That's a really important thing to remember. Some people still do it because they think It's stupid. No matter what they do they still have to obey it because that's the only way how did he save.

Sometimes on the news there is either an accident or a suicide. It might involve someone not looking where they're going or tweet that someone sent. It either injury or death. If a mysterious number says I'm going to kill you and they know where you live but you don't know the person's contact ,It makes you puzzled and make you start to freak out. Which can end up really badly.

Phones are fine to use and it's also the best way to come over help. If you go through a problem and you can't find help you ,always have a phone there with you. Even though phones are used almost every day as long as you're safe it would come into use if you get into trouble. Make sure you do not be like this phone while you're in the middle of driving. The news always updated when people do something stupid around that involves their phones. The safest way is the best way to stay safe.    ",1.0837233066558838,0,1
"This essay will explain if drivers should or should not be able to use electronic devices while operating a vehicle. Using a phone while driving can cause very bad wrecks, because they are putting themselves and other people at risk. People should not be able to use cell phones while operating a vehicle is because bad wrecks, putting others' lives in danger, and may cause death.

First of all, wrecks can be caused by looking down at your phone while driving. Most importantly, you should always keep your eyes directly on the road when behind the wheel of a car. On that note, you will have an outrageously car payment just because you were looking down at your phone. Moreover, if you the reason the accident happened the person that was operating the other car can sue you for lots of money, and you will have to pay it. Therefore, if you don't pay whatever the person charges you consequences will be served and that's behind bars.

Another reason why we should not be able to use cell phones while operating an automobile is that you are putting other people's lives in danger. Thus, looking down at your cell phone you can get someone else hurt for the uncommunicative act you committed. As well as unconsciousness, injuries, or being in a hospital.

The main key to not texting and driving while behind the wheel of a car. Mainly, it can cause tragic, terrifying, and horrific things to you and to others and that's death. That's the most important thing to not using electronic devices while operating a vehicle. With the intension, of you not keeping your eyes and staying focus on the road you can easily turn off the road or hit another victim. Possibly another humankind could go away of all flesh because of your stupidity.

Must be remembered, always stay focus on the road so you can get to your destination safely. So, you can't cause accidents, put other people lives in danger, and possibly death. Important to realize, do not use your phone while operating a vehicle. At least, wait till you make a safe stop or until you arrive at your destination.                                                                      ",1.1389236450195312,0,1
"Driving while the use of cellular devices

Today, most of the society is thoughtless. Especially new drivers, all driver for that matter do not understand the dangers of looking at a cell phone while behind the wheel.

The automobile crashes due to distracted driving are increasing, teens have been the largest age group that was reported to being distracted by cellular usage. I do not agree with people using their cell phones and driving, humans should be smarter to know that if something is going on while they are driving that is so important then pulling off to the side of the road. The society doesn't understand that teens are the main cause for accidents I mean, in two thousand and five there was three hundred and one thousand injuries that were caused in distracted driving related accidents, that doesn't necessarily mean that the driver was texting or using a cellular device. New drivers do not understand that deaths are usually results of an accident. one out of every four car accidents is caused by texting and driving.   ",1.1118245124816895,0,1
"Phones & Driving

Drivers should not be able to use phones while operating a vehicle. Drivers who used their phone while operating a vehicle are most likely to get into an accident that could be fatal.

According to an article by the Edgar Snyder Firm, 21% of teens that were part of a fatal car accident was due to phones. According to the same article, 35% know the risk but continue using their phones while on the road. This shows that its beyond dangerous and irresponsible of drivers not to be fully aware of their surroundings while driving. Drivers should be able to concentrate without any distractions, because it could be fatal.

According to another article, ""Distracted Driving"" by the NHTSA, there has already been about 3,000 phone related car accident deaths since 2017. The article states that teen get too distracted with their phones, which causes their accident. Accidents that can be easily avoided by focusing on the road and not a phone. Drivers should not be able to use their phones at all while driving.

In conclusion, drivers should not able to work a vehicle while using their cell phone. Drivers who uses their phones while operating a vehicle and are likely to have an accident then those who don't.             ",1.049032211303711,0,1
"...forth like a crew of scallywags in a never-ending squabble! Aye, they be tappin' and swipin' on those shiny contraptions, as if they be searchin' for buried treasure in the depths of the digital sea. The art of face-to-face parley be lost, replaced by a flurry of emojis and memes that be flyin' faster than a cannonball!

Ye see, these landlubbers be missin' the thrill of a good ol' yarn spun 'round the tavern, preferin' to share their tales through the flicker of a screen. The call of the wild be drowned out by notifications, and the sweet sound of the ocean be replaced by the clatter of keyboards. 

But beware, me hearties! For too much time spent in the realm of pixels can lead to a curse worse than Davy Jones himself! So, hoist the sails and take a break from the glow, lest ye find yerself marooned in a world of ones and zeros!",0.6756644248962402,1,1
"...arrr, matey! When a scallywag be distracted by their shiny contraption, they be likelier to sail their ship into treacherous waters, causin’ chaos on the high seas of the road. Aye, the siren call of a message or a call can lead to a shipwreck of metal and flesh, leavin’ naught but wreckage in its wake.

The law be clear, ye landlubbers! Many a port has declared it illegal to be fiddlin’ with devices whilst at the helm. For every moment spent gazin’ at a screen, a captain be blind to the dangers lurkin’ about. Aye, the seas be full of other vessels, and one wrong turn can send ye to Davy Jones’ locker.

So, I say, let us hoist the sails of caution and keep our hands steady on the wheel. For a true captain knows that the only treasure worth seekin’ is the safety of all aboard!",0.7400950789451599,1,1
"the cursed contraptions whilst steerin' their vessels upon the treacherous seas of asphalt. Aye, many a scallywag be thinkin' they can navigate the perilous waters of the road with one hand on the wheel and the other clutchin' their shiny treasure of a phone. But beware, me hearties! For every glance at that glowing screen be a chance to meet Davy Jones himself!

Ye see, the landlubbers be forgettin' that the road be a wild beast, ready to strike at the slightest distraction. Aye, a moment's folly can send ye crashin' into the depths of despair, or worse, into the hull of another ship! So, I say to ye, put down that cursed device and keep yer eyes on the horizon. Let not the siren call of social media lead ye astray, lest ye find yerself walkin' the plank of regret. Stay sharp, me mateys, and sail safely through the stormy seas of traffic!",0.7599351406097412,1,1
"trouble on the high seas of the road! Aye, when a scallywag be distracted by that glowing treasure in their hand, they be more likely to crash their ship—er, car—into another vessel or worse, a landlubber! The seas be fraught with peril, and a captain must keep their eyes on the horizon, not on the cursed device.

Ye see, mateys, when a driver be texting or yappin’ away, their wits be scattered like a ship in a storm. They be missin’ the signs, the signals, and the very waves of traffic around 'em. It be a recipe for disaster, I tell ye! 

So, let it be known across the seven seas: put down that phone, or ye might find yerself walkin’ the plank of responsibility! Keep yer hands on the wheel and yer eyes on the prize—safely reachin’ yer destination without a scratch on yer hull! Arrr!",0.7609736919403076,1,1
"Cell Phone Operation While Driving

The ability to stay connected to people we know despite distance was originally brought to fruition by the use of letters. This system was found to be rather slow and new pathways were searched for until the invention of the telegram; the people thought it was an invention of the millennia, but after time it too was thought of as slow until the invention of the telephone. Today, a telephone is in the hand or pocket of a majority of the seven billion people on planet earth. However, this device is taken to areas that it is irresponsible and dangerous.

Within a vehicle capable of traveling upwards of one hundred miles per hour any possible distraction can become fatal spontaneously. The most common of these distractions is a cell phone, with its capabilities to connect us to anyone also in ownership of one, it is easy to pick it up whenever it sounds. In that split second of reaching over for a phone, eyes no longer on the road, it is impossible to no an exact location of anything, making an extremely dangerous action. For the myriad of possibilities that lead to serious injury cell phones should stay in the current state they are in regards of the law, but taken as a more serious offense.

Conversely people may believe that laws in present need to change, becoming less restrictive. People have the right to communicate with whom they wish, when or wherever they may choose to do so. The problem becomes apparent that this is a selfish process of thought; people aren't thinking of those they share the road with. Laws currently in place are not to punish people making poor choices, they are an attempt to keep people safe.

The creation of telecommunication devices was to keep connected to others without regard to the obsession that would encompass the human mind that was bound to follow. The safety of people is top priority without exemption.      ",1.1434364318847656,0,1
"Cell phone use should not be legal while driving, it causes many accidents even fatalities. Drivers become careless while driving when using cell phones. Cell phones cause distractions while on the road. Drivers do not pay attention to the road, which causes accidents to happen. The most prevalent distractions are texting and talking on a cell phone while driving. Cell Phone use should not be legal while driving because it will help prevent more accidents and also prevent more deaths. People become distracted while driving when they use cell phones and bring danger into life, the government should regulate stricter laws to citizens about cell phone use on the road.

Drivers are too busy talking on cell phones and not paying attention to the road. Even the act of just dialing a cell phone can be dangerous. This increases the crash risk by 3 times. This is one of the worst distractions drivers can have, due to the fact that you are not paying attention to the road. Maybe the driver gets a call, gets into an argument, or they are driving too slow. Also another reason is calling while driving can also block out hearing cause the driver is too focused on who is talking, also the driver is less aware of cars around.

This has a big impact on the economy and death rates in the world.

The next reason cell phone use should be illegal while driving is due to texting. This causes the same risks but at a higher rate because you are constantly looking at your phone. Drivers are too busy focused on their screen to pay attention to the road. They are also too busy thinking about their responses and what to say to pay attention to other drivers on the road. Since it usually takes two hands to text, the driver has no hands on the steering wheel. This distraction causes the most fatalities.

This is just another reason cell phone use while driving should be illegal. Drivers however, underestimate their risks of getting into an accident while using their cell phone on the road. Companies also have this break with reality. They promote things like hand free devices, even though those have been shown not to eliminate the risk of getting into an accident. ""Device makers and auto companies acknowledge the risks of multitasking behind the wheel, but they aggressively develop and market gadgets that cause distractions.

Overall, they acknowledge these things happen but they still market things that will cause distractions and increase accident risk.

State governments should set stricter rules about cell phone use while driving. Death rates are going up rapidly everyday. More and more people are passing away from others not paying attention to their pathway. People are being less cautious and lose focus while being on the road. People should care about their lives and others around them more and should put their phones down until reaching the destination.    ",1.055985689163208,0,1
