text,score,true_class,predicted_class
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
"...them. In a recent interview, Teigen revealed that she has embraced her body’s changes throughout her pregnancies, emphasizing the importance of self-acceptance. “I’ve learned to love my stretch marks as a part of my journey,” she said. 

Teigen also shared her skincare routine, which includes moisturizing regularly with oils and creams specifically designed for pregnant women. “I use a combination of coconut oil and a rich body butter to keep my skin hydrated,” she explained. 

While she acknowledges that genetics play a significant role in whether or not someone develops stretch marks, Teigen encourages others to focus on the beauty of their bodies rather than the imperfections. “Every mark tells a story,” she added. 

Her candidness about body image has resonated with many, inspiring a broader conversation about the realities of pregnancy and the importance of loving oneself through all stages of life.",0.8695150017738342,1,1
"...Oceanside Beach when he noticed a commotion in the water. A swimmer had been caught in a rip current and was struggling to stay afloat. Without hesitation, Wilson sprang into action, diving into the turbulent waves. He swam against the current, reaching the distressed swimmer just in time. With his training and experience, he was able to secure the individual and guide them back to safety.

The swimmer, a local resident, expressed immense gratitude for Wilson's quick response and bravery. ""I truly believe he saved my life,"" the swimmer said during the ceremony where Wilson was recognized. The Oceanside Lifeguard Association presented Wilson with a commendation plaque, highlighting his dedication and courage. ""This is what we train for,"" Wilson stated humbly, downplaying his heroics. ""I’m just glad I was there when it mattered."" The community celebrated Wilson's actions, reinforcing the importance of lifeguards in ensuring beach safety.",0.8305739760398865,1,1
"The squad features a mix of promising young talent and experienced players, all eager to showcase their skills on a larger stage. Coach Jamie Thompson expressed his excitement about the upcoming carnival, emphasizing the importance of teamwork and development. ""This is a fantastic opportunity for these young athletes to gain valuable experience and demonstrate their potential,"" Thompson said. 

Among the standout selections are several players who have excelled in local competitions, including standout forward Liam Carter and dynamic midfielder Sarah Jenkins. The team will undergo a rigorous training regimen leading up to the carnival, focusing on both physical conditioning and tactical strategies. 

The Great Southern Colts Carnival is expected to attract scouts from various leagues, providing players with a chance to catch the eye of potential recruiters. The squad will be finalized closer to the event, with Thompson keen to ensure that the best possible team represents the Great Southern region.",0.8435518145561218,1,1
"the revelation has sparked a flurry of excitement among fans and followers. The host, who was discussing various topics, inadvertently mentioned ""he"" when referring to the baby, prompting a surprised reaction from the audience. After realizing her slip, she quickly attempted to redirect the conversation, but the moment had already captured the attention of viewers.

Social media erupted with speculation, as fans took to platforms to express their joy and anticipation for the new arrival. Many shared their theories about potential names and even offered parenting advice, showcasing the strong connection her audience feels with her.

While the star has yet to officially confirm the gender of her baby, insiders suggest that she is over the moon with the news. As she prepares for motherhood, fans are eagerly awaiting more updates, hoping for a glimpse into her journey as she navigates this exciting new chapter in her life.",0.8814892768859863,1,1
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
"As usual, we have the deep-dive Coffee Lake coverage in our Core i7-8700K Review: Coffee Lake Brews A Great Gaming CPU review, but for those of you without the time to sift through all 13 pages, we've condensed all of our gaming results to give you a cheat sheet of sorts on Intel's new halo product.
Coffee Lake has arrived, and after nearly a decade of quad-core doldrums in Intel's mainstream desktop space, the company finally decided to bulk up its Core i7, i5, and i3 series. Intel added two more cores to each of the families and also increased the Turbo Boost frequencies to the highest an Intel chip has seen. Better yet, those increased resources come with a minimal price increase over the Kaby Lake models for the unlocked K-series chips, and the same price for the locked models. We can thank AMD for that.
We also have articles that compare Intel's full Coffee Lake lineup to Kaby Lake and a full breakdown of comparisons to AMD's beefy Ryzen stable.
And No, Coffee Lake will not run in Z270 motherboards.
So, if you whip out your wallet for Intel's six-core, 12-thread flagship and a new motherboard, what does that give you on the gaming front?
Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004 Geomean
image002
image002
image002
image002
image001 (5)
image001 (2)
image001 (3)
image001 (4)
image001
image002
image002
image001
image003
image004
This. Our 99th percentile FPS chart provides a geometric mean of the results, converted into an FPS measurement, of all the games in our test suite. That single figure boils the story down pretty nicely, although we've also provided the performance results in each game so you can see how the Core i7-8700K fares in your favorite titles.
Despite a few missteps, the Core i7-8700K lives up to Intel’s claims. Although it doesn't beat the -7700K by a massive margin, the Coffee Lake flagship does deliver better performance in stock and overclocked form. AMD's Ryzen processors still offer competitive pricing and solid gaming performance, but Coffee Lake's gaming performance widens the gap considerably.
Intel's additional cores speed up performance in threaded tasks, which will also be a boon for the streaming crowd, but the faster Turbo Boost (up to 4.7 GHz) maintains the company's advantage in single threaded titles, albeit with a few cases of a slight step back from the Kaby Lake processors.
Image1
Image2
Image3
Image4 Image1
Image2
Image3
Image4
But bleeding edge performance is only part of the equation. We demand good value--a point AMD drove home with its speedy Ryzen lineup. Intel has obviously taken note, and the additional cores comes without radical price increases. Overall, the Core i7-8700K represents a solid value for those who demand the ultimate in performance, and the lesser Core i5 and i3 SKUs also look promising for the more pragmatic among us.
The Core i7-8700K is simple to overclock and won't require exotic cooling solutions unless you're chasing the bleeding edge, which makes it a fun chip for enthusiasts.
Altogether, the Core i7-8700K is the nimblest gaming chip we've tested, and it also offers surprising performance in our full suite of application tests. As we noted in the review:
Intel has its 10nm Cannon Lake processors coming in the second half of 2018, and AMD has a Ryzen refresh cycle coming next year. Knowing this, should you upgrade now or wait for the next wave of hardware? Due to the iterative nature of most updates, we rarely recommend jumping forward one, or even two generations. However, if you routinely find yourself running productivity workloads that might be served well by Core i7-8700K's extra cores, we could see replacing a quad-core chip with six cores. Gamers interested in maximum performance or streaming also stand to benefit, though in a world of single-GPU graphics configurations, you'd be hard-pressed to bottleneck an overclocked -7700K with even a GeForce GTX 1080 Ti (particularly at the high resolutions it's meant to drive).
The Core i7-8700K took home our Editor's Choice award. So feel free to take a dip in Coffee Lake if you've got the dosh--we doubt you'll be disappointed. We're working on testing the i5 and i3 models now, so stay tuned.",1.0769720077514648,0,1
